"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify Click Ứng Dụng","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Verify Click Cụm Rạp","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify Click Ứng Dụng","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify hủy Logout","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Logout Test Future","logout.spec.ts","",""
"","0","Verify Click Mua Vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Verify Click Mua Vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail Guest Future","detail.guest.spec.ts","",""
"","0","Verify Register with existing email","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify ""Bạn đã có tài khoản? Đăng nhập"" link","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Register with existing account","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Nhấn đặt vé khi chưa chọn ghế","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Booking User Future","booking.user.spec.ts","",""
"","0","Login with non-existent account","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","11381","Verify Nhấn đặt vé và Không login - Kiểm tra lịch chiếu","chromium","Sun Dec 14 23:51:56 ICT 2025","failed","Sun Dec 14 23:52:07 ICT 2025","Booking Guest Future","booking.guest.spec.ts","",""
"","1","Verify Click Lịch chiếu","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Verify Register with invalid name","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","1","Verify Play Movie","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Verify Register with short password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","1","Verify Register with empty account","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","1","Verify Nhấn đặt nhiều vé thành công","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Booking User Future","booking.user.spec.ts","",""
"","1","Verify Register with empty email","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Click Lịch chiếu","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify ""Bạn chưa có tài khoản? Đăng ký"" link","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Verify Register with empty name","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Register with empty password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify remember account enabled","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Login with trailing spaces in account","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Verify Play Movie","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","3856","Verify Nhấn đặt vé và Không login","chromium","Thu Dec 18 23:07:40 ICT 2025","failed","Thu Dec 18 23:07:44 ICT 2025","Booking Guest Future","booking.guest.spec.ts","",""
"","0","Verify Login Successfully","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Login with empty account and password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Verify Click Mua Vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify Nhấn đặt 1 vé thành công","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Booking User Future","booking.user.spec.ts","",""
"","0","Verify Play Movie","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail Guest Future","detail.guest.spec.ts","",""
"","0","Verify Click Tin Tức","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Verify Register with empty all fields","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Register with Incorrect confirm password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Chọn phim đặt vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify Click Cụm Rạp","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","3048","Verify Nhấn đặt vé","chromium","Thu Dec 18 23:07:32 ICT 2025","failed","Thu Dec 18 23:07:35 ICT 2025","Booking Guest Future","booking.guest.spec.ts","",""
"","0","Verify Chọn phim đặt vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Login with invalid password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","1","Verify Chọn Rạp và lịch chiếu","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail User Future","detail.user.spec.ts","",""
"","2245","Verify Nhấn đặt vé và đồng ý login","chromium","Thu Dec 18 23:07:36 ICT 2025","failed","Thu Dec 18 23:07:39 ICT 2025","Booking Guest Future","booking.guest.spec.ts","",""
"","0","Verify Click Tin Tức","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","0","Verify Chọn Rạp và lịch chiếu","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail Guest Future","detail.guest.spec.ts","",""
"","1","Verify lịch sử đặt vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Booking User Future","booking.user.spec.ts","",""
"","0","Verify Logout Successfully","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Logout Test Future","logout.spec.ts","",""
"","0","Verify Play Movie","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail User Future","detail.user.spec.ts","",""
"","0","Verify Click Mua Vé Ngay","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home User Future","home.user.spec.ts","",""
"","0","Login with leading spaces in account","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Login Test Future","login.spec.ts","",""
"","0","Verify Register Successfully","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","0","Verify Register with empty confirm password","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Register Test Future","register.spec.ts","",""
"","1","Verify Click Mua Vé Ngay","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Home Guest Future","home.guest.spec.ts","",""
"","1","Verify Click Mua Vé","chromium","Thu Dec 18 23:07:44 ICT 2025","skipped","Thu Dec 18 23:07:44 ICT 2025","Detail User Future","detail.user.spec.ts","",""
